;ay;ax;az
0;0.61291564;0.02873042;9.835381
1;0.8619126;0.038307227;9.701305
2;0.6512229;0.11492168;9.988609
3;0.7086837;0.05746084;10.25676
4;0.81402856;0.038307227;9.77792
5;0.7086837;0.047884032;9.634268
6;1.0055647;0.1340753;9.768343
7;0.46926352;0.047884032;10.055647
8;0.91937345;0.1436521;10.007763
9;0.7182605;-0.009576807;9.595961
10;0.62249243;-0.08619126;9.768343
11;0.8714894;0.05746084;9.634268
12;0.6703765;0.02873042;9.844957
13;0.82360536;0.1340753;9.959879
14;0.90979666;0.16280572;10.228029
15;0.6895301;0.24899697;10.802638
16;0.6703765;0.22026655;10.055647
17;1.1683705;0.06703765;9.011775
18;0.61291564;0.076614454;10.113108
19;0.61291564;0.2777274;11.21444
20;1.043872;0.33518824;10.381259
21;0.25857377;-0.038307227;9.634268
22;1.4556746;-0.009576807;9.030929
23;0.51714754;-0.047884032;9.643845
24;0.49799395;0.61291564;13.120225
25;1.2545617;0.81402856;11.089942
26;0.46926352;-0.5650316;7.2783732
27;0.8523358;0.12449849;9.624691
28;0.7565677;0.06703765;9.873688
29;0.7661445;0.076614454;9.816227
30;0.7661445;0.11492168;9.911995
31;0.7374141;0.08619126;9.931149
32;0.7661445;0.08619126;9.864111
33;0.7757214;0.076614454;9.883265
34;0.7374141;0.06703765;9.864111
35;0.7661445;0.10534488;9.911995
36;0.7565677;0.095768064;9.911995
37;0.7565677;0.038307227;9.959879
38;0.7661445;0.076614454;9.950302
39;0.7374141;0.05746084;9.950302
40;0.7661445;0.076614454;9.902418
41;0.7469909;0.08619126;9.9790325
42;0.7565677;0.08619126;9.911995
43;0.79487497;0.06703765;9.873688
44;0.7661445;0.16280572;9.873688
45;0.7565677;0.1340753;9.921572
46;0.7757214;0.06703765;9.902418
47;0.7278373;0.06703765;9.854534
48;0.7661445;0.047884032;9.969456
49;0.7565677;0.08619126;9.844957
50;0.7757214;0.08619126;9.921572
51;0.7565677;0.11492168;9.873688
52;0.7565677;0.08619126;9.950302
53;0.79487497;0.076614454;9.959879
54;0.7278373;0.05746084;9.911995
55;0.7757214;0.05746084;9.864111
56;0.7469909;0.095768064;9.940725
57;0.78529817;0.05746084;9.883265
58;0.78529817;0.1340753;9.940725
59;0.78529817;0.038307227;9.835381
60;0.82360536;0.095768064;9.825804
61;0.7757214;0.10534488;9.940725
62;0.7757214;0.095768064;9.883265
63;0.7565677;0.047884032;9.931149
64;0.7757214;0.12449849;9.854534
65;0.81402856;0.08619126;9.883265
66;0.7661445;0.1340753;9.988609
67;0.7086837;0.05746084;9.864111
68;0.80445176;0.038307227;9.969456
69;0.7086837;0.05746084;9.931149
70;0.7565677;0.095768064;9.988609
71;0.7661445;0.16280572;9.892841
72;0.7374141;0.06703765;9.950302
73;0.7757214;0.06703765;9.883265
74;0.7661445;0.10534488;9.844957
75;0.7469909;0.10534488;9.902418
76;0.78529817;0.15322891;9.940725
77;0.8523358;0.12449849;9.873688
78;0.641646;0.076614454;9.749189
79;0.8714894;0.05746084;9.739613
80;0.59376204;0.047884032;9.864111
81;0.93852705;0.047884032;9.749189
82;0.7086837;0.009576807;10.04607
83;0.7086837;0.05746084;10.151415
84;0.78529817;0.009576807;9.902418
85;0.80445176;0.02873042;10.1226845
86;0.78529817;0.08619126;9.959879
87;0.78529817;0.05746084;9.797073
88;0.78529817;0.095768064;9.940725
89;0.7757214;0.10534488;9.854534
90;0.7469909;0.076614454;9.835381
91;0.7661445;0.05746084;9.892841
92;0.7374141;0.076614454;9.883265
93;0.7469909;0.06703765;9.835381
94;0.7374141;0.10534488;9.682152
95;0.7086837;0.12449849;9.959879
96;0.78529817;0.095768064;9.988609
97;0.6799533;0.076614454;9.959879
98;0.80445176;0.10534488;9.940725
99;0.7278373;0.12449849;9.969456
100;0.79487497;0.15322891;9.969456
101;0.7086837;0.08619126;9.969456
102;0.82360536;0.06703765;9.950302
103;0.78529817;0.095768064;10.0269165
104;0.6703765;0.06703765;9.844957
105;0.82360536;0.10534488;9.825804
106;0.7374141;0.06703765;9.931149
107;0.7661445;0.1436521;9.758766
108;0.6799533;-0.0;9.854534
109;0.8619126;0.047884032;9.873688
110;0.81402856;0.08619126;9.854534
111;0.81402856;0.05746084;9.969456
112;0.80445176;0.047884032;9.902418
113;0.7757214;0.05746084;9.921572
114;0.6991069;0.1436521;9.921572
115;0.82360536;0.10534488;9.959879
116;0.7469909;0.05746084;9.998186
117;0.7565677;0.15322891;9.902418
118;0.81402856;0.15322891;10.01734
119;0.78529817;0.15322891;9.921572
120;0.7565677;0.10534488;9.911995
