ax;ay;az
0.11492168;-0.08619126;9.768343
0.1340753;0.08619126;9.414001
0.25857377;-0.038307227;9.816227
0.29688102;-0.29688102;10.429143
-0.047884032;-0.16280572;10.189722
0.7661445;-0.19153613;9.528923
-0.095768064;0.05746084;9.624691
0.019153614;0.0;10.477027
0.21068975;0.0;9.356541
0.25857377;0.095768064;9.643845
0.18195933;-0.076614454;9.854534
0.19153613;-0.038307227;9.720459
0.23942018;-0.038307227;9.959879
0.21068975;-0.095768064;10.25676
0.20111294;-0.1340753;10.189722
0.19153613;-0.06703765;9.902418
0.1340753;-0.06703765;9.873688
0.21068975;-0.095768064;10.381259
0.1340753;-0.21068975;10.419566
0.22026655;-0.11492168;10.132261
0.15322891;-0.076614454;9.902418
0.02873042;-0.047884032;9.950302
0.60333884;-0.25857377;10.0269165
0.21068975;-0.19153613;10.362105
-0.22026655;0.02873042;10.170568
0.38307226;0.1436521;8.820239
0.36391866;0.0;9.184157
0.16280572;-0.02873042;9.80665
0.2873042;-0.038307227;10.1226845
0.22984336;0.0;9.921572
0.21068975;-0.02873042;9.921572
0.20111294;-0.08619126;9.873688
0.20111294;-0.02873042;9.921572
0.16280572;-0.095768064;9.892841
0.24899697;0.0;9.854534
0.11492168;-0.038307227;9.902418
0.20111294;-0.076614454;9.931149
0.1340753;-0.038307227;9.950302
0.17238252;-0.076614454;9.950302
0.21068975;0.0;9.921572
0.21068975;0.0;9.844957
0.20111294;0.0;9.816227
0.21068975;-0.019153614;9.864111
0.16280572;-0.038307227;9.883265
0.22984336;-0.019153614;9.864111
0.24899697;-0.019153614;9.864111
0.22984336;0.038307227;9.873688
0.24899697;-0.019153614;9.931149
0.22984336;-0.009576807;9.940725
0.22984336;-0.038307227;9.854534
0.29688102;0.0;9.902418
0.23942018;0.0;9.873688
0.24899697;0.0;9.9790325
0.22026655;-0.02873042;9.921572
0.20111294;-0.05746084;9.940725
0.22026655;-0.047884032;9.988609
0.20111294;-0.08619126;9.959879
0.17238252;-0.06703765;9.998186
0.21068975;-0.05746084;9.825804
0.16280572;-0.076614454;9.883265
0.17238252;-0.10534488;9.959879
0.06703765;-0.10534488;10.0269165
0.17238252;-0.038307227;9.9790325
0.23942018;-0.038307227;9.816227
0.18195933;-0.047884032;9.873688
0.15322891;-0.095768064;9.988609
0.22984336;-0.009576807;10.007763
0.11492168;-0.1340753;9.902418
0.24899697;-0.019153614;9.797073
0.23942018;0.0;9.854534
0.20111294;-0.06703765;10.036493
0.2681506;0.009576807;9.969456
0.24899697;0.0;9.768343
0.23942018;-0.019153614;9.892841
0.1436521;-0.06703765;9.921572
0.33518824;0.02873042;9.959879
0.1340753;-0.10534488;9.892841
0.15322891;-0.05746084;9.959879
0.41180268;-0.05746084;9.959879
-0.08619126;-0.095768064;9.739613
