ax;ay;az
-0.1340753;-0.05746084;10.01734
-0.095768064;0.009576807;9.816227
-0.18195933;-0.019153614;9.873688
-0.076614454;-0.019153614;9.940725
-0.16280572;-0.009576807;9.950302
-0.17238252;-0.038307227;9.902418
-0.10534488;0.0;9.931149
-0.15322891;-0.02873042;9.892841
-0.12449849;-0.038307227;9.911995
-0.1340753;0.019153614;9.873688
-0.1436521;0.076614454;9.864111
-0.12449849;-0.02873042;9.892841
-0.10534488;-0.019153614;9.931149
-0.12449849;-0.019153614;9.921572
-0.1340753;-0.009576807;9.844957
-0.15322891;0.019153614;9.911995
-0.1436521;0.0;9.883265
-0.11492168;-0.009576807;9.902418
-0.15322891;-0.019153614;9.844957
-0.08619126;-0.038307227;9.892841
-0.095768064;-0.08619126;9.950302
-0.1340753;0.009576807;9.902418
-0.12449849;-0.06703765;9.873688
-0.12449849;-0.05746084;9.950302
-0.076614454;-0.06703765;9.959879
-0.11492168;-0.038307227;9.940725
-0.1436521;0.02873042;9.902418
-0.15322891;-0.038307227;9.854534
-0.06703765;-0.038307227;9.921572
-0.11492168;-0.019153614;9.854534
-0.1436521;-0.019153614;9.883265
-0.17238252;-0.019153614;9.825804
-0.1436521;0.0;9.864111
-0.095768064;-0.05746084;9.873688
-0.095768064;-0.05746084;9.873688
-0.15322891;-0.06703765;9.931149
-0.11492168;-0.06703765;9.854534
-0.06703765;-0.06703765;9.931149
-0.24899697;0.009576807;9.9790325
-0.1436521;-0.08619126;9.940725
-0.18195933;-0.047884032;9.988609
-0.11492168;-0.009576807;9.825804
-0.095768064;-0.05746084;9.931149
-0.17238252;-0.02873042;9.931149
-0.076614454;-0.038307227;9.835381
-0.08619126;-0.047884032;9.988609
-0.11492168;-0.019153614;9.844957
-0.1340753;0.009576807;9.883265
-0.1340753;0.0;9.892841
-0.11492168;0.0;9.883265
-0.15322891;-0.038307227;9.854534
-0.1340753;-0.06703765;9.921572
-0.12449849;0.0;9.902418
-0.095768064;-0.047884032;9.969456
-0.15322891;-0.009576807;9.864111
-0.095768064;-0.019153614;9.854534
-0.12449849;0.0;9.911995
-0.17238252;-0.076614454;9.921572
-0.17238252;0.0;9.892841
-0.076614454;-0.038307227;9.864111
-0.1436521;-0.038307227;9.902418
-0.16280572;-0.019153614;9.9790325
-0.12449849;-0.05746084;9.940725
-0.16280572;-0.038307227;9.969456
-0.11492168;0.0;9.940725
-0.18195933;-0.076614454;9.902418
-0.095768064;-0.019153614;9.921572
-0.10534488;-0.076614454;9.940725
-0.1340753;-0.02873042;9.911995
-0.076614454;0.0;9.911995
-0.076614454;0.009576807;9.873688
-0.11492168;-0.10534488;9.816227
-0.095768064;-0.009576807;9.873688
-0.12449849;0.02873042;9.940725
-0.11492168;-0.11492168;9.835381
-0.038307227;-0.019153614;10.151415
-0.15322891;0.0;9.825804
-0.17238252;-0.10534488;9.892841
-0.12449849;-0.05746084;9.998186
-0.076614454;0.0;9.873688
-0.15322891;0.02873042;9.950302
-0.19153613;-0.009576807;9.959879
-0.076614454;-0.047884032;9.844957
-0.18195933;-0.009576807;9.940725
-0.19153613;-0.038307227;9.969456
-0.10534488;-0.047884032;9.921572
-0.10534488;-0.047884032;9.902418
-0.095768064;-0.019153614;9.873688
-0.16280572;0.0;9.892841
-0.1340753;0.019153614;9.931149
-0.11492168;0.0;9.911995
-0.11492168;-0.02873042;9.911995
-0.17238252;0.0;9.844957
-0.10534488;0.0;9.940725
-0.095768064;-0.02873042;9.950302
-0.08619126;-0.06703765;9.873688
-0.15322891;0.038307227;9.940725
-0.05746084;-0.009576807;9.80665
-0.12449849;-0.02873042;9.931149
-0.1436521;0.009576807;9.844957
