;ay;ax;az
0;0.46926352;-0.076614454;9.825804
1;0.59376204;-0.076614454;9.911995
2;0.6703765;-0.05746084;9.854534
3;0.47884035;-0.12449849;9.854534
4;0.6991069;-0.06703765;9.892841
5;0.5746084;-0.047884032;9.873688
6;0.58418524;-0.02873042;9.892841
7;0.61291564;-0.10534488;9.873688
8;0.5267244;-0.05746084;9.902418
9;0.6703765;-0.047884032;9.864111
10;0.5650316;-0.076614454;9.844957
11;0.61291564;-0.11492168;9.921572
12;0.63206923;-0.047884032;9.844957
13;0.545878;-0.10534488;9.854534
14;0.6799533;-0.038307227;9.902418
15;0.59376204;-0.047884032;9.892841
16;0.5554548;-0.12449849;9.873688
17;0.61291564;-0.11492168;9.816227
18;0.60333884;-0.10534488;9.902418
19;0.61291564;-0.019153614;9.892841
20;0.545878;-0.076614454;9.835381
21;0.62249243;-0.076614454;9.864111
22;0.545878;-0.02873042;9.816227
23;0.58418524;-0.06703765;9.835381
24;0.6512229;-0.06703765;9.921572
25;0.58418524;-0.08619126;9.816227
26;0.62249243;-0.08619126;9.873688
27;0.50757074;-0.095768064;9.835381
28;0.5554548;-0.06703765;9.864111
29;0.6512229;-0.05746084;9.873688
30;0.5363012;-0.06703765;9.797073
31;0.5746084;-0.038307227;9.911995
32;0.60333884;-0.06703765;9.892841
33;0.60333884;-0.02873042;9.931149
34;0.61291564;-0.05746084;9.864111
35;0.59376204;-0.05746084;9.844957
36;0.61291564;-0.05746084;9.959879
37;0.61291564;-0.076614454;9.797073
38;0.61291564;-0.12449849;9.864111
39;0.60333884;-0.009576807;9.931149
40;0.5554548;-0.10534488;9.864111
41;0.61291564;-0.047884032;9.883265
42;0.58418524;-0.009576807;9.825804
43;0.5554548;-0.08619126;9.892841
44;0.641646;-0.038307227;9.902418
45;0.5363012;-0.08619126;9.873688
46;0.6512229;-0.038307227;9.883265
47;0.5554548;-0.08619126;9.854534
48;0.5746084;-0.05746084;9.825804
49;0.58418524;-0.038307227;9.911995
50;0.58418524;-0.08619126;9.864111
51;0.60333884;-0.06703765;9.864111
52;0.63206923;-0.047884032;9.921572
53;0.5554548;-0.08619126;9.902418
54;0.63206923;-0.076614454;9.864111
55;0.5554548;-0.05746084;9.835381
56;0.58418524;-0.047884032;9.902418
57;0.58418524;-0.038307227;9.835381
58;0.5650316;-0.1340753;9.835381
59;0.641646;-0.05746084;9.911995
60;0.59376204;-0.019153614;9.844957
61;0.59376204;-0.05746084;9.873688
62;0.63206923;-0.06703765;9.80665
63;0.5746084;-0.12449849;10.055647
64;0.545878;-0.12449849;9.854534
65;0.5267244;-0.02873042;9.864111
66;0.62249243;-0.0;9.940725
67;0.50757074;-0.08619126;9.77792
68;0.58418524;-0.076614454;9.864111
69;0.6703765;0.06703765;9.883265
70;0.59376204;-0.009576807;9.835381
71;0.61291564;-0.08619126;9.835381
72;0.58418524;-0.047884032;9.883265
73;0.5746084;-0.019153614;9.911995
74;0.545878;-0.076614454;9.854534
75;0.48841715;-0.095768064;9.835381
76;0.6607997;-0.009576807;9.883265
77;0.50757074;-0.06703765;9.864111
78;0.545878;-0.019153614;9.844957
79;0.59376204;-0.038307227;9.902418
80;0.49799395;-0.08619126;9.931149
81;0.5554548;-0.05746084;9.9790325
82;0.60333884;-0.076614454;9.825804
83;0.5267244;-0.11492168;9.825804
84;0.59376204;-0.06703765;9.911995
85;0.60333884;-0.11492168;9.844957
86;0.59376204;-0.076614454;9.816227
87;0.6607997;-0.019153614;9.835381
88;0.58418524;-0.10534488;9.864111
89;0.62249243;-0.10534488;9.844957
90;0.61291564;-0.12449849;9.825804
91;0.5650316;-0.047884032;9.854534
92;0.6895301;-0.019153614;9.902418
93;0.6703765;-0.12449849;9.816227
94;0.6607997;-0.047884032;9.940725
95;0.5650316;-0.12449849;9.835381
96;0.79487497;-0.047884032;10.007763
97;0.41180268;-0.22026655;9.787497
98;0.7086837;0.22026655;9.911995
99;0.50757074;-0.1436521;9.864111
100;0.63206923;-0.02873042;9.787497
101;0.5554548;-0.076614454;9.720459
102;0.5267244;-0.11492168;9.787497
103;0.58418524;-0.0;9.873688
104;0.58418524;-0.08619126;9.816227
