time;gFx;gFy;gFz;TgF
08:32:38:4270;-0,1207;0,3189;0,8659;0,933
08:32:38:4320;-0,1217;0,3160;0,8582;0,926
08:32:38:4350;-0,1148;0,3114;0,8576;0,922
08:32:38:4380;-0,1148;0,3112;0,8580;0,923
08:32:38:4410;-0,1150;0,3116;0,8516;0,917
08:32:38:4440;-0,1164;0,3152;0,8517;0,918
08:32:38:4460;-0,1175;0,3170;0,8618;0,929
08:32:38:4490;-0,1197;0,3203;0,8582;0,927
08:32:38:4520;-0,1171;0,3212;0,8551;0,924
08:32:38:4560;-0,1207;0,3213;0,8598;0,929
08:32:38:4600;-0,1184;0,3173;0,8550;0,923
08:32:38:4620;-0,1120;0,3152;0,8454;0,912
08:32:38:4660;-0,1077;0,3127;0,8444;0,910
08:32:38:4680;-0,1030;0,3107;0,8414;0,905
08:32:38:4710;-0,0991;0,3091;0,8317;0,895
08:32:38:4730;-0,0957;0,3104;0,8269;0,891
08:32:38:4760;-0,0899;0,3138;0,8298;0,894
08:32:38:4770;-0,0931;0,3160;0,8392;0,904
08:32:38:4800;-0,1107;0,3164;0,8482;0,915
08:32:38:4820;-0,1195;0,3177;0,8599;0,927
08:32:38:4840;-0,1204;0,3226;0,8683;0,937
08:32:38:4860;-0,1226;0,3209;0,8725;0,941
08:32:38:4880;-0,1176;0,3180;0,8747;0,941
08:32:38:4900;-0,1153;0,3145;0,8684;0,934
08:32:38:4920;-0,1140;0,3150;0,8588;0,925
08:32:38:4950;-0,1126;0,3156;0,8464;0,913
08:32:38:4970;-0,1077;0,3159;0,8410;0,908
08:32:38:5000;-0,1085;0,3165;0,8405;0,907
08:32:38:5020;-0,1090;0,3171;0,8419;0,909
08:32:38:5050;-0,1084;0,3141;0,8457;0,911
08:32:38:5070;-0,1090;0,3140;0,8443;0,910
08:32:38:5100;-0,1077;0,3121;0,8392;0,905
08:32:38:5120;-0,1022;0,3110;0,8347;0,899
08:32:38:5150;-0,0997;0,3121;0,8403;0,904
08:32:38:5160;-0,1016;0,3112;0,8455;0,909
08:32:38:5180;-0,1032;0,3102;0,8494;0,913
08:32:38:5210;-0,1042;0,3067;0,8545;0,916
08:32:38:5300;-0,1029;0,3058;0,8574;0,919
08:32:38:5330;-0,1015;0,3089;0,8545;0,917
08:32:38:5360;-0,0961;0,3083;0,8577;0,919
08:32:38:5570;-0,0985;0,3063;0,8571;0,918
08:32:38:5600;-0,1073;0,3091;0,8598;0,923
08:32:38:5620;-0,1046;0,3131;0,8589;0,923
08:32:38:5650;-0,1010;0,3145;0,8638;0,927
08:32:38:5670;-0,1062;0,3159;0,8661;0,931
08:32:38:5690;-0,1140;0,3200;0,8661;0,933
08:32:38:5720;-0,1139;0,3215;0,8696;0,937
08:32:38:5910;-0,1121;0,3217;0,8749;0,942
08:32:38:5930;-0,1137;0,3188;0,8766;0,942
08:32:38:5960;-0,1129;0,3160;0,8716;0,937
08:32:38:5970;-0,1062;0,3127;0,8607;0,924
08:32:38:5990;-0,1001;0,3096;0,8512;0,914
08:32:38:6030;-0,0969;0,3067;0,8422;0,904
08:32:38:6110;-0,0923;0,3032;0,8326;0,893
08:32:38:6130;-0,0903;0,2999;0,8268;0,886
08:32:38:6260;-0,0886;0,2996;0,8306;0,890
08:32:38:6290;-0,0889;0,2985;0,8333;0,892
08:32:38:6320;-0,0944;0,3047;0,8391;0,900
08:32:38:6340;-0,1007;0,3068;0,8503;0,912
08:32:38:6360;-0,1081;0,3091;0,8625;0,925
08:32:38:6410;-0,1109;0,3123;0,8688;0,933
08:32:38:6810;-0,1132;0,3198;0,8686;0,935
08:32:38:6860;-0,1140;0,3242;0,8650;0,934
08:32:38:6900;-0,1069;0,3248;0,8579;0,926
08:32:38:6940;-0,1038;0,3199;0,8524;0,919
08:32:38:6980;-0,1018;0,3169;0,8435;0,909
08:32:38:7020;-0,0997;0,3170;0,8426;0,908
08:32:38:7060;-0,0982;0,3147;0,8450;0,910
08:32:38:7100;-0,0977;0,3152;0,8483;0,913
08:32:38:7130;-0,1017;0,3139;0,8536;0,918
08:32:38:7170;-0,1038;0,3138;0,8609;0,925
08:32:38:7200;-0,1075;0,3140;0,8636;0,928
08:32:38:7230;-0,1054;0,3184;0,8656;0,931
08:32:38:7260;-0,1022;0,3146;0,8681;0,931
08:32:38:7300;-0,1017;0,3110;0,8629;0,925
08:32:38:7330;-0,1058;0,3099;0,8578;0,921
08:32:38:7360;-0,0972;0,3132;0,8525;0,916
08:32:38:7400;-0,0920;0,3080;0,8505;0,912
